match_number,batsman,runs_scored,balls_faced,fours,sixes,strike_rate,bowler,balls_bowled,runs_conceded,wickets,overs,economy
10,DJ Bravo,23.0,22.0,4.0,0.0,104.55,DJ Bravo,18.0,27.0,0,3.0,9.0
10,DJ Hooda,21.0,28.0,1.0,1.0,75.0,DJ Hooda,18.0,26.0,caught,3.0,8.67
10,DL Vettori,20.0,13.0,3.0,1.0,153.85,DL Vettori,18.0,22.0,caught,3.0,7.33
10,DS Kulkarni,30.0,36.0,0.0,2.0,83.33,DS Kulkarni,48.0,56.0,caughtcaughtrun out,8.0,7.0
10,GJ Maxwell,153.0,89.0,15.0,8.0,171.91,GJ Maxwell,24.0,37.0,0,4.0,9.25
10,HH Pandya,49.0,45.0,4.0,1.0,108.89,HH Pandya,45.0,48.0,bowledcaught,7.3,6.58
10,HV Patel,10.0,11.0,1.0,0.0,90.91,HV Patel,74.0,103.0,caughtbowledlbwcaughtcaught,12.2,8.44
10,Harbhajan Singh,6.0,7.0,0.0,0.0,85.71,Harbhajan Singh,99.0,120.0,caughtcaughtcaughtrun outcaughtcaughtlbw,16.3,7.36
10,I Sharma,1.0,1.0,0.0,0.0,100.0,I Sharma,42.0,63.0,caughtcaught,7.0,9.0
10,IK Pathan,18.0,17.0,0.0,0.0,105.88,IK Pathan,56.0,65.0,caughtcaughtlbw,9.2,7.07
10,JD Ryder,17.0,11.0,3.0,0.0,154.55,JD Ryder,12.0,8.0,caughtrun out,2.0,4.0
10,JH Kallis,66.0,64.0,10.0,1.0,103.12,JH Kallis,38.0,27.0,caughtbowledcaughtcaught,6.2,4.35
10,JP Duminy,21.0,19.0,3.0,0.0,110.53,JP Duminy,14.0,16.0,caughtbowled,2.2,7.27
10,JP Faulkner,4.0,2.0,1.0,0.0,200.0,JP Faulkner,19.0,40.0,caught,3.1,12.9
10,KA Jamieson,11.0,4.0,1.0,1.0,275.0,KA Jamieson,19.0,41.0,caughtbowledcaught,3.1,13.23
10,KA Pollard,89.0,49.0,5.0,7.0,181.63,KA Pollard,32.0,48.0,caught and bowledcaught,5.2,9.23
10,KH Pandya,71.0,45.0,7.0,4.0,157.78,KH Pandya,51.0,53.0,caughtlbwbowled,8.3,6.39
10,KK Ahmed,0.0,1.0,0.0,0.0,0.0,KK Ahmed,24.0,34.0,caughtcaught,4.0,8.5
10,KR Mayers,13.0,14.0,2.0,0.0,92.86,KR Mayers,6.0,5.0,0,1.0,5.0
10,Kuldeep Yadav,24.0,19.0,1.0,1.0,126.32,Kuldeep Yadav,72.0,96.0,lbwcaughtcaughtrun outbowled,12.0,8.0
