batsman,total_runs,total_balls_faced,total_fours,total_sixes,strike_rate,total_balls_bowled,total_runs_conceded,total_wickets,overs_bowled,economy
SM Pollock,147.0,116.0,12.0,8.0,126.72,165.0,217.0,8,27.3,7.89
SMSM Senanayake,10.0,17.0,0.0,0.0,58.82,96.0,97.0,4,16.0,6.06
SN Khan,15.0,13.0,1.0,1.0,115.38,2.0,6.0,1,0.2,18.0
SN Thakur,307.0,230.0,27.0,13.0,133.48,1317.0,1994.0,29,219.3,9.08
SP Narine,1544.0,994.0,163.0,99.0,155.33,3888.0,4406.0,53,648.0,6.8
SPD Smith,56.0,58.0,5.0,1.0,96.55,2.0,5.0,1,0.2,15.0
SR Tendulkar,243.0,204.0,27.0,6.0,119.12,37.0,59.0,4,6.1,9.57
SR Watson,3707.0,2763.0,360.0,181.0,134.17,2137.0,2742.0,53,356.1,7.7
SS Cottrell,0.0,2.0,0.0,0.0,0.0,20.0,34.0,1,3.2,10.2
SS Iyer,43.0,44.0,4.0,0.0,97.73,6.0,7.0,1,1.0,7.0
ST Jayasuriya,474.0,399.0,56.0,19.0,118.8,301.0,396.0,17,50.1,7.89
STR Binny,776.0,593.0,59.0,31.0,130.86,513.0,624.0,34,85.3,7.3
SW Tait,23.0,26.0,1.0,1.0,88.46,122.0,178.0,5,20.2,8.75
SZ Mulani,1.0,1.0,0.0,0.0,100.0,19.0,24.0,1,3.1,7.58
Sandeep Sharma,54.0,73.0,4.0,0.0,73.97,1263.0,1649.0,21,210.3,7.83
Shahbaz Ahmed,486.0,433.0,25.0,21.0,112.24,455.0,688.0,26,75.5,9.07
Shahid Afridi,81.0,46.0,7.0,6.0,176.09,160.0,204.0,9,26.4,7.65
Shakib Al Hasan,795.0,665.0,73.0,21.0,119.55,1291.0,1587.0,32,215.1,7.38
Shashank Singh,17.0,18.0,1.0,0.0,94.44,12.0,15.0,2,2.0,7.5
Shivam Mavi,51.0,58.0,4.0,2.0,87.93,364.0,526.0,10,60.4,8.67
Shivam Sharma,5.0,3.0,1.0,0.0,166.67,48.0,58.0,2,8.0,7.25
Shoaib Ahmed,1.0,6.0,0.0,0.0,16.67,42.0,60.0,3,7.0,8.57
Shoaib Akhtar,2.0,8.0,0.0,0.0,25.0,13.0,29.0,1,2.1,13.38
Shoaib Malik,51.0,48.0,5.0,0.0,106.25,51.0,76.0,4,8.3,8.94
Sikandar Raza,149.0,114.0,10.0,6.0,130.7,88.0,146.0,7,14.4,9.95
Simarjeet Singh,7.0,8.0,0.0,0.0,87.5,90.0,145.0,3,15.0,9.67
Sohail Tanvir,36.0,31.0,3.0,1.0,116.13,113.0,129.0,4,18.5,6.85
